id;predicted;uq;resid
CHEMBL261977;-2.8280015;0.20209435;-0.022001086916435764
CHEMBL299097;-2.5534766;0.11972537;-2.0065234820648303
CHEMBL299231;-4.1487575;0.3456602;1.578751880971366
CHEMBL62274;-2.7384849;0.13571833;0.5084960229217419
CHEMBL51118;-2.3271976;0.17818598;-0.5528038365944741
CHEMBL2393261;-3.7650862;0.18348053;-0.23491382598876953
CHEMBL574548;-3.848712;0.1885756;-0.15128803253173828
CHEMBL574253;-3.7101269;0.27769384;0.409314082712938
CHEMBL573317;-2.3371758;0.16083002;-1.0993048489096413
CHEMBL261964;-4.9193125;0.47920653;-0.0806875228881836
CHEMBL213771;-4.75677;0.39132312;-0.24322986602783203
CHEMBL268848;-4.504594;0.33906692;-0.4954061508178711
CHEMBL1182210;-2.9004202;0.17401904;-0.11115025469346973
CHEMBL218592;-2.8525617;0.19091581;0.0484222799296643
CHEMBL221387;-2.5672956;0.23341937;-0.45389374776988944
CHEMBL305660;-3.2905774;0.15542233;0.9149137976907262
CHEMBL17157;-2.9787967;0.117182046;-0.11146133242655543
CHEMBL601773;-2.1039164;0.18120873;-0.27448149431666735
CHEMBL1385840;-2.1245964;0.20661369;0.1075630180468008
CHEMBL493;-2.0615418;0.19111603;-0.6643698365644575
CHEMBL1403281;-2.2241912;0.20632246;0.056873854064079854
CHEMBL1222296;-2.8956826;0.19651467;-0.9909209409682305
CHEMBL1222294;-2.2948442;0.17479558;-0.32840513985468744
CHEMBL1222232;-2.951294;0.11484005;0.9645222110462552
CHEMBL1222230;-2.3915815;0.25973958;-1.2279291854991428
CHEMBL1222233;-3.9489703;0.29064;-0.05102968215942383
CHEMBL309904;-0.957147;0.3816229;-1.5528480897932453
CHEMBL1222231;-2.8550358;0.39474952;-1.1449642181396484
CHEMBL1222135;-1.877763;0.26323822;-1.356501091465581
CHEMBL1222136;-2.681153;0.17812283;-1.3188469409942627
CHEMBL1222137;-3.2942839;0.2914205;0.624966986316212
CHEMBL1222293;-2.020483;0.19740276;-0.3651232566305387
CHEMBL1222295;-3.2544422;0.24631236;0.5898002394096946
CHEMBL1222134;-2.1535587;0.34432817;1.551498739751139
CHEMBL1222234;-1.634702;0.30600902;-0.3652980327606201
CHEMBL1222138;-2.16076;0.22813515;0.8385406311083659
CHEMBL1222028;-1.8596933;0.20260853;-1.8066374554988673
CHEMBL1306;-2.1642044;0.16958381;-1.6784672747062235
CHEMBL27;-2.2689013;0.18709317;-0.9937869961876826
CHEMBL672;-4.0631895;0.30768538;0.6882579525525734
CHEMBL1933400;-2.9012983;0.17512953;-0.10302308925200254
CHEMBL526;-2.1298027;0.60914;-1.9328920694849714
CHEMBL602279;-2.4986935;0.21932583;0.5444509567471987
CHEMBL603093;-2.0749;0.18382257;-0.8991509909123838
CHEMBL603092;-2.282124;0.25347534;-0.018905953152994925
CHEMBL643;-1.8565376;0.29117432;0.7773563344424874
