id;predicted;uq;resid
CHEMBL103055;-3.8019867;0.12904477;-1.1980133056640625
CHEMBL103667;-4.429481;0.24675784;0.4656932021649429
CHEMBL106966;-4.4435596;0.18297423;-0.03356160811321729
CHEMBL1077979;-3.176814;0.16385493;1.2737240922927244
CHEMBL1080994;-4.541683;0.22701177;-0.15728680731453437
CHEMBL1080995;-4.651666;0.27678615;-0.04730383993782539
CHEMBL1087421;-5.019396;0.35266352;0.019395828247070312
CHEMBL1087650;-4.001383;0.22566427;-0.6975871765772297
CHEMBL1088633;-5.1161823;0.45400435;0.11618232727050781
CHEMBL1089082;-4.1400127;0.18845968;-0.5589572632471516
CHEMBL1090360;-4.45805;0.2586753;1.4580497741699219
CHEMBL1091356;-3.610043;0.20137617;-1.0889269554773762
CHEMBL1092754;-3.6011548;0.121487;1.9021847998937176
CHEMBL1094408;-3.95808;0.1207052;-0.04191994667053223
CHEMBL1095626;-4.557537;0.27681756;-0.14143292547859687
CHEMBL1095627;-4.5318847;0.33831465;-0.1670853340784504
CHEMBL115220;-4.3162184;0.1645389;0.31621837615966797
CHEMBL1163016;-2.871885;0.35246095;-1.8270849430719807
CHEMBL119385;-4.052341;0.13101248;0.3533709800084641
CHEMBL12131;-3.1961298;0.23290265;0.041401591449004016
CHEMBL1230607;-3.6965516;0.14795528;-0.3034484386444092
CHEMBL1234833;-4.0083513;0.3372951;0.5155909369619325
CHEMBL1258913;-3.6316378;0.1495993;-0.3683621883392334
CHEMBL1270230;-3.8785303;0.13672976;-0.12146973609924316
CHEMBL1270399;-2.2581737;0.36872727;1.2581737041473389
CHEMBL1270795;-2.3096666;0.38914368;-1.690333366394043
CHEMBL1272116;-3.9594193;0.18457545;-0.04058074951171875
CHEMBL1272171;-4.0959516;0.1283699;0.09595155715942383
CHEMBL1287886;-4.4784174;0.18674602;-0.2205526077906086
CHEMBL1288038;-4.4802175;0.23320399;-0.2187525475183918
CHEMBL1288039;-4.5677495;0.20307966;-0.13122050406136054
CHEMBL1288067;-4.771779;0.27821708;0.07280905602775078
CHEMBL1288069;-4.6611977;0.2685831;-0.03777234198250312
CHEMBL1288098;-4.6031075;0.25020024;-0.09586255194344062
CHEMBL1288099;-4.4992843;0.20423473;-0.19968573691048164
CHEMBL1288100;-4.791522;0.27228138;0.09255202172599297
CHEMBL1288127;-4.5873013;0.3149189;-0.11166875006355781
CHEMBL1288128;-4.807525;0.29584703;0.42731391621686043
CHEMBL1288129;-4.615456;0.23448166;-0.0835139000574543
CHEMBL1288159;-4.5433397;0.26782513;-0.15563027502693672
CHEMBL1288160;-4.6862655;0.22252886;-0.012704535738606637
CHEMBL1288215;-4.598183;0.26628092;-0.1007868492762043
CHEMBL1288895;-4.5520573;0.2575493;-0.14691273810066718
CHEMBL1406;-3.0848784;0.12414643;-1.0557866953051054
CHEMBL1448;-3.0322616;0.13323909;-1.967738389968872
CHEMBL1466;-3.2940555;0.24016543;-0.35195594770769434
CHEMBL14762;-4.2761164;0.1583995;0.028961756273657713
CHEMBL151430;-1.9157835;0.45620188;-1.1941323385105487
CHEMBL1614820;-4.7540708;0.28550893;0.05510075448356133
CHEMBL1644615;-4.497437;0.2321408;-0.20153300406136054
CHEMBL1644617;-4.217991;0.15952466;-0.4809791290918781
CHEMBL1644618;-4.687338;0.21833155;-0.011632128969807809
CHEMBL1644619;-5.059763;0.37222052;0.7173402738897074
CHEMBL1644620;-4.6230235;0.23522171;-0.0759464943567707
CHEMBL1644621;-4.855097;0.280836;0.15612681268058282
CHEMBL1644622;-4.870611;0.3323212;0.1716411864598797
CHEMBL1644623;-4.9494896;0.3451523;0.25051958916984063
CHEMBL1644624;-4.525511;0.19218923;-0.17345921637215156
CHEMBL1644625;-4.521367;0.24083452;-0.17760293127693672
CHEMBL1644626;-4.847321;0.34917882;0.701192997799545
CHEMBL1644627;-4.834702;0.36093426;0.13573201058707696
CHEMBL1644628;-4.5244823;0.24012466;0.8255122458776047
CHEMBL1644629;-4.372985;0.21038705;-0.32598511816658515
CHEMBL1644630;-4.463297;0.26627916;-0.23567311407722968
CHEMBL1644631;-4.25876;0.21606186;-0.44021002890266914
CHEMBL1644632;-4.6429367;0.35143945;-0.056033297793049996
CHEMBL1644633;-4.579363;0.32778713;-0.11960713507332343
CHEMBL1644634;-4.787866;0.26259467;0.08889611123404961
CHEMBL1644635;-4.9737744;0.33197656;0.2748044287999676
CHEMBL1644636;-4.555133;0.28393406;-0.14383713843025703
CHEMBL1644638;-4.726122;0.26726335;0.027151898129801566
CHEMBL1644639;-4.5919867;0.2098833;-0.1069833481470539
CHEMBL1644640;-4.2994366;0.20112556;-0.39953343512215156
CHEMBL1644641;-4.54999;0.22110236;-0.14897982718147773
CHEMBL1644642;-4.963033;0.37018356;0.264063194974284
CHEMBL1644643;-4.5416856;0.2008672;0.8427155768712571
CHEMBL1644646;-4.6589103;0.27134016;0.9599402701695969
CHEMBL1650533;-2.8177586;0.28910297;0.8177585601806641
CHEMBL1650545;-2.81123;0.26024538;0.811229944229126
CHEMBL1650551;-2.0315723;0.39337343;0.03157234191894531
CHEMBL1651521;-3.9580657;0.16161993;0.1518857742308346
CHEMBL1651522;-3.6316977;0.18346666;-0.3683023452758789
CHEMBL1651523;-4.903664;0.2992115;0.9036641120910645
